name,category,sold,sales_inc_tax,discount,sales_exc_tax,cost_inc_tax,gross_profit,markup,year
29. chicken katsu curry(standard),donburi 29-39,2320,26469.57,286.95,27793.05,0.0,27793.05,0.0,2023
30. prawn katsu curry(standard),donburi 29-39,444,5917.37,50.36,6213.24,0.0,6213.24,0.0,2023
31. tonkatsu curry(standard),donburi 29-39,315,3242.86,28.5,3405.0,0.0,3405.0,0.0,2023
32. beef curry(standard),donburi 29-39,554,6867.28,71.96,7210.64,0.0,7210.64,0.0,2023
33. chicken teriyaki(standard),donburi 29-39,1068,12165.41,107.52,12773.68,0.0,12773.68,0.0,2023
35. grilled unagi(default),donburi 29-39,322,4560.9,33.86,4788.94,0.0,4788.94,0.0,2023
36. salmon sashimi & tobiko(standard),donburi 29-39,170,2179.7,74.31,2288.69,0.0,2288.69,0.0,2023
37.katsudon pork(standard),donburi 29-39,262,3198.42,21.46,3358.34,0.0,3358.34,0.0,2023
asahi(half),draught beer,583,1447.83,0.78,1520.22,0.0,1520.22,0.0,2023
asahi(pint),draught beer,4733,23397.7,44.01,24567.59,0.0,24567.59,0.0,2023
camden pale ale(half),draught beer,45,111.43,0.0,117.0,0.0,117.0,0.0,2023
camden pale ale(pint),draught beer,558,2600.91,3.24,2730.96,0.0,2730.96,0.0,2023
cornish orchard cider(half),draught beer,29,68.33,0.75,71.75,0.0,71.75,0.0,2023
cornish orchard cider(pint),draught beer,95,378.4,1.68,397.32,0.0,397.32,0.0,2023
peroni(half),draught beer,226,600.88,1.88,630.92,0.0,630.92,0.0,2023
peroni(pint),draught beer,1143,5642.86,18.6,5925.0,0.0,5925.0,0.0,2023
stella(half),draught beer,76,180.25,0.74,189.26,0.0,189.26,0.0,2023
stella(pint),draught beer,731,2918.44,5.84,3064.36,0.0,3064.36,0.0,2023
62. ja jang myun(standard),korean nood 62-65,221,2069.64,14.78,2173.12,0.0,2173.12,0.0,2023
63. kimchi ramen(standard),korean nood 62-65,664,5639.4,47.23,5921.37,0.0,5921.37,0.0,2023
korean set menu(standard),korean set menu,2,55.05,0.0,57.8,0.0,57.8,0.0,2023
49. kimchi set(standard),korean sides 49-52,352,2516.68,14.29,2642.51,0.0,2642.51,0.0,2023
50. kimchi(standard),korean sides 49-52,709,2669.37,25.26,2802.84,0.0,2802.84,0.0,2023
51. cucumber kimchi(standard),korean sides 49-52,293,804.23,5.26,844.44,0.0,844.44,0.0,2023
52. mooli kimchi(standard),korean sides 49-52,106,297.67,0.85,312.55,0.0,312.55,0.0,2023
aloe vera(standard),korean soft drinks,496,1273.89,1.62,1337.58,0.0,1337.58,0.0,2023
hai tai bong bong grape juice(standard),korean soft drinks,681,2267.17,2.97,2380.53,0.0,2380.53,0.0,2023
jinro cham yi sul (fresh)(standard),korean soju,241,2263.08,33.77,2376.23,0.0,2376.23,0.0,2023
jinro cham yi sul (green grapes)(standard),korean soju,79,631.55,8.37,663.13,0.0,663.13,0.0,2023
53. seafood pancake(standard),korean starter 53-61,427,3971.96,56.74,4170.56,0.0,4170.56,0.0,2023
54. kimchi pancake(standard),korean starter 53-61,403,3423.7,32.81,3594.89,0.0,3594.89,0.0,2023
55. bossam pork belly(standard),korean starter 53-61,393,3991.95,92.15,4191.55,0.0,4191.55,0.0,2023
56. corn cheese(standard),korean starter 53-61,186,1571.55,5.27,1650.13,0.0,1650.13,0.0,2023
57. topokki(standard),korean starter 53-61,635,5947.09,86.06,6244.44,0.0,6244.44,0.0,2023
58. tofu kimchi(standard),korean starter 53-61,72,675.24,3.8,709.0,0.0,709.0,0.0,2023
59. mandu (5pc)(standard),korean starter 53-61,1201,10902.61,66.16,11447.74,0.0,11447.74,0.0,2023
60. dubu jorim(standard),korean starter 53-61,101,752.28,8.01,789.89,0.0,789.89,0.0,2023
61. fried chicken wings (4pc)(standard),korean starter 53-61,938,7104.06,43.94,7459.26,0.0,7459.26,0.0,2023
47. yaki soba(vegatable),noodles 47-48,274,2575.92,7.88,2704.72,0.0,2704.72,0.0,2023
47. yaki soba(chicken),noodles 47-48,630,6514.67,90.6,6840.4,0.0,6840.4,0.0,2023
47. yaki soba(chicken katsu),noodles 47-48,205,2490.12,29.87,2614.63,0.0,2614.63,0.0,2023
47. yaki soba(seafood),noodles 47-48,119,1662.38,27.6,1745.5,0.0,1745.5,0.0,2023
47. yaki soba(grilled ribeye steak),noodles 47-48,160,2225.63,21.09,2336.91,0.0,2336.91,0.0,2023
47. yaki soba(beef),noodles 47-48,341,3497.46,44.57,3672.33,0.0,3672.33,0.0,2023
47. yaki udon(vegetable),noodles 47-48,146,1374.82,1.84,1443.56,0.0,1443.56,0.0,2023
47. yaki udon(chicken),noodles 47-48,344,3598.04,26.66,3777.94,0.0,3777.94,0.0,2023
47. yaki udon(beef),noodles 47-48,251,2681.57,16.25,2815.65,0.0,2815.65,0.0,2023
47. yaki udon(chicken katsu),noodles 47-48,145,1779.7,24.82,1868.68,0.0,1868.68,0.0,2023
47. yaki udon(seafood),noodles 47-48,101,1422.63,11.14,1493.76,0.0,1493.76,0.0,2023
47. yaki udon(grilled ribeye steak),noodles 47-48,91,1291.64,4.23,1356.22,0.0,1356.22,0.0,2023
48. soup ramen(pork belly),noodles 47-48,404,4149.14,50.0,4356.6,0.0,4356.6,0.0,2023
48. soup ramen(pork belly),noodles 47-48,259,2757.24,27.0,2895.1,0.0,2895.1,0.0,2023
48. soup ramen(pork cutlet katsu),noodles 47-48,192,2088.89,17.47,2193.33,0.0,2193.33,0.0,2023
48. soup ramen(chicken),noodles 47-48,567,5893.22,66.42,6187.88,0.0,6187.88,0.0,2023
48. soup ramen(seafood),noodles 47-48,162,2267.52,32.9,2380.9,0.0,2380.9,0.0,2023
48. soup ramen(grilled ribeye steak),noodles 47-48,113,1576.5,30.78,1655.32,0.0,1655.32,0.0,2023
48.soup udon(pork belly),noodles 47-48,105,1081.25,12.19,1135.31,0.0,1135.31,0.0,2023
48.soup udon(chicken),noodles 47-48,142,1488.57,4.8,1563.0,0.0,1563.0,0.0,2023
48.soup udon(chilli beef),noodles 47-48,137,1460.97,13.28,1534.02,0.0,1534.02,0.0,2023
48.soup udon(pork belly),noodles 47-48,34,362.09,10.41,380.19,0.0,380.19,0.0,2023
48.soup udon(pork katsu),noodles 47-48,48,498.29,0.0,523.2,0.0,523.2,0.0,2023
48.soup udon(seafood),noodles 47-48,64,908.19,0.0,953.6,0.0,953.6,0.0,2023
48.soup udon(grilled ribeye steak),noodles 47-48,30,424.3,1.49,445.51,0.0,445.51,0.0,2023
45. grill meat platter(standard),platters 45-46,305,10460.22,41.27,10983.23,0.0,10983.23,0.0,2023
46. seafood platter(standard),platters 45-46,147,6325.94,105.06,6642.24,0.0,6642.24,0.0,2023
14. monte verde merlot(125ml),red wine,31,108.1,0.0,113.5,0.0,113.5,0.0,2023
14. monte verde merlot(175ml),red wine,58,255.24,0.0,268.0,0.0,268.0,0.0,2023
14. monte verde merlot(250ml),red wine,112,596.19,0.0,626.0,0.0,626.0,0.0,2023
14. monte verde merlot(bottle),red wine,49,818.96,1.59,859.91,0.0,859.91,0.0,2023
15. berri estates shiraz(125ml),red wine,11,39.29,0.0,41.25,0.0,41.25,0.0,2023
15. berri estates shiraz(175ml),red wine,41,185.48,0.0,194.75,0.0,194.75,0.0,2023
15. berri estates shiraz(250ml),red wine,50,286.1,0.6,300.4,0.0,300.4,0.0,2023
15. berri estates shiraz(bottle),red wine,37,622.38,0.0,653.5,0.0,653.5,0.0,2023
16. rare vineyards pinot noir(125ml),red wine,7,29.29,0.0,30.75,0.0,30.75,0.0,2023
16. rare vineyards pinot noir(175ml),red wine,31,157.86,0.0,165.75,0.0,165.75,0.0,2023
16. rare vineyards pinot noir(250ml),red wine,27,174.5,2.02,183.23,0.0,183.23,0.0,2023
16. rare vineyards pinot noir(bottle),red wine,28,535.24,2.0,562.0,0.0,562.0,0.0,2023
17 alma mora malbec(125ml),red wine,14,62.86,0.0,66.0,0.0,66.0,0.0,2023
17 alma mora malbec(175ml),red wine,34,179.95,1.05,188.95,0.0,188.95,0.0,2023
17 alma mora malbec(250ml),red wine,54,376.67,0.0,395.5,0.0,395.5,0.0,2023
17 alma mora malbec(bottle),red wine,46,922.86,0.0,969.0,0.0,969.0,0.0,2023
70. dolsot bimbimbap(beef),rice dishes 70-74,942,9722.76,58.9,10208.9,0.0,10208.9,0.0,2023
70. dolsot bimbimbap(chicken),rice dishes 70-74,498,5051.94,21.66,5304.54,0.0,5304.54,0.0,2023
70. dolsot bimbimbap(pork),rice dishes 70-74,331,3324.49,46.19,3490.71,0.0,3490.71,0.0,2023
70. dolsot bimbimbap(vegetable),rice dishes 70-74,174,1657.21,11.53,1740.07,0.0,1740.07,0.0,2023
71. kimchi fried rice(pork),rice dishes 70-74,271,2530.94,28.41,2657.49,0.0,2657.49,0.0,2023
71. kimchi fried rice(chicken),rice dishes 70-74,561,5217.82,29.19,5478.71,0.0,5478.71,0.0,2023
71. kimchi fried rice(vegetable),rice dishes 70-74,221,1920.07,14.83,2016.07,0.0,2016.07,0.0,2023
72. bok gum bap(pork),rice dishes 70-74,154,1735.22,10.62,1821.98,0.0,1821.98,0.0,2023
72. bok gum bap(chicken),rice dishes 70-74,208,2132.1,8.49,2238.71,0.0,2238.71,0.0,2023
72. bok gum bap(vegetable),rice dishes 70-74,87,789.77,6.04,829.26,0.0,829.26,0.0,2023
73. squid thop bap(standard),rice dishes 70-74,448,5056.75,56.61,5309.59,0.0,5309.59,0.0,2023
74. gimbap(beef),rice dishes 70-74,130,1339.69,10.33,1406.67,0.0,1406.67,0.0,2023
74. gimbap(spicy chicken),rice dishes 70-74,203,1964.1,18.39,2062.31,0.0,2062.31,0.0,2023
74. gimbap(pork belly),rice dishes 70-74,126,1203.97,37.23,1264.17,0.0,1264.17,0.0,2023
74. gimbap(vegetable),rice dishes 70-74,79,716.95,11.3,752.8,0.0,752.8,0.0,2023
16. chilli beef(standard),robata grill 15-23,465,3966.76,32.4,4165.1,0.0,4165.1,0.0,2023
17. teriyaki chicken(standard),robata grill 15-23,363,2747.96,17.34,2885.36,0.0,2885.36,0.0,2023
18. pork yakitori(standard),robata grill 15-23,286,2151.55,17.07,2259.13,0.0,2259.13,0.0,2023
19. miso lamb(standard),robata grill 15-23,246,2311.2,8.64,2426.76,0.0,2426.76,0.0,2023
20. teriyaki salmon(standard),robata grill 15-23,239,2184.21,17.68,2293.42,0.0,2293.42,0.0,2023
21. grilled squid(standard),robata grill 15-23,200,1443.33,5.5,1515.5,0.0,1515.5,0.0,2023
22. teriyaki beef(standard),robata grill 15-23,194,1635.51,9.31,1717.29,0.0,1717.29,0.0,2023
15. grill wings(standard),robata grill 15-23,271,1928.83,7.23,2025.27,0.0,2025.27,0.0,2023
23. mixed vegetable(standard),robata grill 15-23,109,716.29,0.0,752.1,0.0,752.1,0.0,2023
12. belvino pinot grigio rosato(125ml),rose wine,52,178.1,0.0,187.0,0.0,187.0,0.0,2023
12. belvino pinot grigio rosato(175ml),rose wine,90,389.19,1.35,408.65,0.0,408.65,0.0,2023
12. belvino pinot grigio rosato(250ml),rose wine,172,909.43,1.1,954.9,0.0,954.9,0.0,2023
12. belvino pinot grigio rosato(bottle),rose wine,71,1328.1,0.0,1394.5,0.0,1394.5,0.0,2023
13. whispering hills(125ml),rose wine,22,83.81,0.0,88.0,0.0,88.0,0.0,2023
13. whispering hills(175ml),rose wine,43,207.62,0.0,218.0,0.0,218.0,0.0,2023
13. whispering hills(250ml),rose wine,61,378.1,0.0,397.0,0.0,397.0,0.0,2023
13. whispering hills(bottle),rose wine,32,595.24,0.0,625.0,0.0,625.0,0.0,2023
chilli fries(standard),sides,2537,8409.01,50.04,8829.46,0.0,8829.46,0.0,2023
edamame(standard),sides,614,2027.03,20.62,2128.38,0.0,2128.38,0.0,2023
miso soup(standard),sides,537,1773.12,17.72,1861.78,0.0,1861.78,0.0,2023
steamed rice(standard),sides,1252,3544.49,34.29,3721.71,0.0,3721.71,0.0,2023
apple juice(standard),soft drinks,407,927.99,2.41,974.39,0.0,974.39,0.0,2023
coke(standard),soft drinks,3852,9912.78,18.98,10408.42,0.0,10408.42,0.0,2023
diet coke(standard),soft drinks,3327,8556.79,17.27,8984.63,0.0,8984.63,0.0,2023
fanta(standard),soft drinks,654,1683.2,4.44,1767.36,0.0,1767.36,0.0,2023
fever tree pink tonic(standard),soft drinks,5,12.86,0.0,13.5,0.0,13.5,0.0,2023
fever tree slimline tonic(standard),soft drinks,130,334.04,0.26,350.74,0.0,350.74,0.0,2023
fever tree tonic(standard),soft drinks,194,498.93,0.92,523.88,0.0,523.88,0.0,2023
j2o(standard),soft drinks,510,1167.85,1.76,1226.24,0.0,1226.24,0.0,2023
lemonade(standard),soft drinks,1350,3485.8,2.91,3660.09,0.0,3660.09,0.0,2023
orange juice(standard),soft drinks,270,616.43,0.75,647.25,0.0,647.25,0.0,2023
pineapple juice(standard),soft drinks,294,668.7,3.46,702.14,0.0,702.14,0.0,2023
soda water(standard),soft drinks,410,525.83,1.38,552.12,0.0,552.12,0.0,2023
still / sparkling water(330ml),soft drinks,510,876.0,2.2,919.8,0.0,919.8,0.0,2023
still / sparkling water(750ml),soft drinks,360,1307.35,2.28,1372.72,0.0,1372.72,0.0,2023
gunkan (2pc)(spicy tuna or spicy salmon),restaurant specials,1,3.81,0.0,4.0,0.0,4.0,0.0,2023
gunkan (2pc)(avacado),restaurant specials,1,1.9,0.0,2.0,0.0,2.0,0.0,2023
kagugiri(standard),restaurant specials,52,326.24,21.45,342.55,0.0,342.55,0.0,2023
soft shell crab rolls(standard),restaurant specials,6,42.86,0.0,45.0,0.0,45.0,0.0,2023
sushi platter (16 pc)(standard),restaurant specials,1,23.81,0.0,25.0,0.0,25.0,0.0,2023
66. yuk gae jang(standard),soup 66-69,560,5845.94,45.76,6138.24,0.0,6138.24,0.0,2023
67. kimchi stew(standard),soup 66-69,350,3329.45,31.08,3495.92,0.0,3495.92,0.0,2023
68. tofu stew(standard),soup 66-69,290,2764.1,52.69,2902.31,0.0,2902.31,0.0,2023
69. kkori gom tang(standard),soup 66-69,207,2287.54,73.38,2401.92,0.0,2401.92,0.0,2023
40. chilli beef(standard),special mains 39-46,3,41.43,0.0,43.5,0.0,43.5,0.0,2023
41. salmon teriyaki(standard),special mains 39-46,6,85.71,0.0,90.0,0.0,90.0,0.0,2023
amaretto(single),spirits,5,13.81,0.0,14.5,0.0,14.5,0.0,2023
bombay(single),spirits,6,21.14,0.0,22.2,0.0,22.2,0.0,2023
gordans(single),spirits,117,278.57,0.0,292.5,0.0,292.5,0.0,2023
rum(single),spirits,38,90.48,0.0,95.0,0.0,95.0,0.0,2023
sambuca(single),spirits,20,51.2,2.24,53.76,0.0,53.76,0.0,2023
smirnoff(single),spirits,63,150.0,0.0,157.5,0.0,157.5,0.0,2023
tequila(standard),spirits,82,214.17,4.72,224.88,0.0,224.88,0.0,2023
whiskey(single),spirits,9,21.43,0.0,22.5,0.0,22.5,0.0,2023
maki (3pc)(salmon),sushi,603,1981.3,30.13,2080.37,0.0,2080.37,0.0,2023
maki (3pc)(tuna),sushi,49,160.0,3.5,168.0,0.0,168.0,0.0,2023
maki (3pc)(bell pepper),sushi,40,115.62,0.6,121.4,0.0,121.4,0.0,2023
maki (3pc)(chicken katsu),sushi,502,1475.38,10.85,1549.15,0.0,1549.15,0.0,2023
maki (3pc)(avocado),sushi,412,1197.38,16.75,1257.25,0.0,1257.25,0.0,2023
maki (3pc)(cucumber),sushi,321,940.09,10.91,987.09,0.0,987.09,0.0,2023
nigiri (3pc)(tamago),sushi,5,17.14,2.0,18.0,0.0,18.0,0.0,2023
nigiri (3pc)(asparagus),sushi,15,55.99,2.21,58.79,0.0,58.79,0.0,2023
nigiri (3pc)(avocado),sushi,62,238.19,0.4,250.1,0.0,250.1,0.0,2023
nigiri (3pc)(salmon),sushi,534,2540.64,18.33,2667.67,0.0,2667.67,0.0,2023
nigiri (3pc)(tuna),sushi,23,107.14,0.5,112.5,0.0,112.5,0.0,2023
nigiri (3pc)(prawn),sushi,80,338.6,4.47,355.53,0.0,355.53,0.0,2023
sashimi (4pc)(salmon),sushi,365,1704.59,80.18,1789.82,0.0,1789.82,0.0,2023
sashimi (4pc)(tuna),sushi,24,114.29,0.0,120.0,0.0,120.0,0.0,2023
temaki (1pc)(salmon),sushi,226,726.66,28.01,762.99,0.0,762.99,0.0,2023
temaki (1pc)(tuna),sushi,33,111.52,10.4,117.1,0.0,117.1,0.0,2023
temaki (1pc)(chicken katsu),sushi,83,240.88,5.08,252.92,0.0,252.92,0.0,2023
temaki (1pc)(prawn tempura),sushi,96,319.63,4.89,335.61,0.0,335.61,0.0,2023
temaki (1pc)(avocado),sushi,32,92.48,2.9,97.1,0.0,97.1,0.0,2023
nigiri platter (12pc)(standard),sushi platters,147,2546.3,23.09,2673.61,0.0,2673.61,0.0,2023
sushi platter (30pc)(standard),sushi platters,177,5955.2,73.14,6252.96,0.0,6252.96,0.0,2023
california(standard),sushi rolls (4pc),516,3407.99,33.61,3578.39,0.0,3578.39,0.0,2023
dynamite(standard),sushi rolls (4pc),555,3871.69,97.23,4065.27,0.0,4065.27,0.0,2023
kagugiri (sushi rolls 4pc)(standard),sushi rolls (4pc),203,1266.76,90.9,1330.1,0.0,1330.1,0.0,2023
prawn tempura(standard),sushi rolls (4pc),373,2436.33,52.85,2558.15,0.0,2558.15,0.0,2023
salmon avocado(standard),sushi rolls (4pc),178,1257.8,14.31,1320.69,0.0,1320.69,0.0,2023
soft shell crab(standard),sushi rolls (4pc),197,1562.27,22.52,1640.38,0.0,1640.38,0.0,2023
spicy chicken katsu(standard),sushi rolls (4pc),471,2663.9,28.9,2797.1,0.0,2797.1,0.0,2023
spicy tuna(standard),sushi rolls (4pc),156,1097.97,17.13,1152.87,0.0,1152.87,0.0,2023
umi zarigani(standard),sushi rolls (4pc),2,15.24,0.0,16.0,0.0,16.0,0.0,2023
cappuccino(standard),tea / coffee,122,313.64,0.48,329.32,0.0,329.32,0.0,2023
espresso(standard),tea / coffee,78,178.29,0.0,187.2,0.0,187.2,0.0,2023
latte(standard),tea / coffee,125,341.18,0.56,358.24,0.0,358.24,0.0,2023
tea(standard),tea / coffee,262,349.07,0.28,366.52,0.0,366.52,0.0,2023
01. spicy squid(standard),traditional 1-14,1155,8712.43,89.45,9148.05,0.0,9148.05,0.0,2023
02. prawn tempura(standard),traditional 1-14,1240,10569.74,72.77,11098.23,0.0,11098.23,0.0,2023
03. vegetable tempura(standard),traditional 1-14,583,3851.04,30.11,4043.59,0.0,4043.59,0.0,2023
04. soft shell crab tempura(standard),traditional 1-14,543,5078.97,42.78,5332.92,0.0,5332.92,0.0,2023
05. chicken harumaki(standard),traditional 1-14,744,4888.95,53.2,5133.4,0.0,5133.4,0.0,2023
07. tuna tartar(standard),traditional 1-14,55,410.93,3.02,431.48,0.0,431.48,0.0,2023
08. chicken karaagi(standard),traditional 1-14,973,7338.51,62.26,7705.44,0.0,7705.44,0.0,2023
09. seafood okonomiyaki(standard),traditional 1-14,149,1402.03,2.97,1472.13,0.0,1472.13,0.0,2023
10. agedashi tofu(standard),traditional 1-14,237,1543.98,33.12,1621.18,0.0,1621.18,0.0,2023
11. takoyaki(standard),traditional 1-14,816,6153.5,73.23,6461.17,0.0,6461.17,0.0,2023
12. wasabi prawns(standard),traditional 1-14,499,4199.24,31.9,4409.2,0.0,4409.2,0.0,2023
13. grilled unagi eel(standard),traditional 1-14,167,1769.36,78.67,1857.83,0.0,1857.83,0.0,2023
6. salmon tartar(standard),traditional 1-14,300,2263.9,9.91,2377.09,0.0,2377.09,0.0,2023
06 monte verde sauvignon blanc(125ml),white wine,85,285.24,0.0,299.5,0.0,299.5,0.0,2023
06 monte verde sauvignon blanc(175ml),white wine,222,966.67,0.0,1015.0,0.0,1015.0,0.0,2023
06 monte verde sauvignon blanc(250ml),white wine,311,1652.24,0.65,1734.85,0.0,1734.85,0.0,2023
06 monte verde sauvignon blanc(bottle),white wine,215,3600.59,0.88,3780.62,0.0,3780.62,0.0,2023
07 cullinan view chenin blanc(125ml),white wine,8,28.57,0.0,30.0,0.0,30.0,0.0,2023
07 cullinan view chenin blanc(175ml),white wine,24,111.43,0.0,117.0,0.0,117.0,0.0,2023
07 cullinan view chenin blanc(250ml),white wine,48,278.1,0.0,292.0,0.0,292.0,0.0,2023
07 cullinan view chenin blanc(bottle),white wine,36,603.1,1.75,633.25,0.0,633.25,0.0,2023
08 parini pinot grigio(125ml),white wine,32,127.62,0.0,134.0,0.0,134.0,0.0,2023
08 parini pinot grigio(175ml),white wine,102,491.2,0.24,515.76,0.0,515.76,0.0,2023
08 parini pinot grigio(250ml),white wine,170,1058.23,1.36,1111.14,0.0,1111.14,0.0,2023
08 parini pinot grigio(bottle),white wine,103,1912.1,7.8,2007.7,0.0,2007.7,0.0,2023
09 short mile bay chardonnay(125ml),white wine,12,46.1,0.0,48.4,0.0,48.4,0.0,2023
09 short mile bay chardonnay(175ml),white wine,38,178.45,0.93,187.37,0.0,187.37,0.0,2023
09 short mile bay chardonnay(250ml),white wine,64,386.67,0.0,406.0,0.0,406.0,0.0,2023
09 short mile bay chardonnay(bottle),white wine,36,638.1,0.0,670.0,0.0,670.0,0.0,2023
10 vine trail gewurztraminer(125ml),white wine,7,28.33,0.0,29.75,0.0,29.75,0.0,2023
10 vine trail gewurztraminer(175ml),white wine,23,130.71,0.0,137.25,0.0,137.25,0.0,2023
10 vine trail gewurztraminer(250ml),white wine,10,72.38,0.0,76.0,0.0,76.0,0.0,2023
10 vine trail gewurztraminer(bottle),white wine,31,592.38,0.0,622.0,0.0,622.0,0.0,2023
11 pulpo sauvignon blanc(125ml),white wine,1,4.52,0.0,4.75,0.0,4.75,0.0,2023
11 pulpo sauvignon blanc(175ml),white wine,1,5.48,0.0,5.75,0.0,5.75,0.0,2023
11 pulpo sauvignon blanc(250ml),white wine,2,14.29,0.0,15.0,0.0,15.0,0.0,2023
chicken katsu maki (4pc)(standard),new items,4,28.57,0.0,30.0,0.0,30.0,0.0,2023
salmon sashimi(standard),new items,12,85.71,0.0,90.0,0.0,90.0,0.0,2023
beef bulgogi(standard),new items,6,50.1,7.1,52.6,0.0,52.6,0.0,2023
kimchee fried rice(chicken),new items,7,63.49,2.99,66.66,0.0,66.66,0.0,2023
kimchee fried rice(seafood),new items,1,7.58,1.99,7.96,0.0,7.96,0.0,2023
kimchee fried rice(vegetable),new items,1,9.48,0.0,9.95,0.0,9.95,0.0,2023
sake(default),white wine,137,978.57,0.0,1027.5,0.0,1027.5,0.0,2023
liquer coffee(-),tea / coffee,1,4.76,0.0,5.0,0.0,5.0,0.0,2023
dash cordial(-),soft drinks,456,348.82,0.54,366.26,0.0,366.26,0.0,2023
americano(-),tea / coffee,152,324.57,0.0,340.8,0.0,340.8,0.0,2023
fruit tea(-),tea / coffee,4,5.33,0.0,5.6,0.0,5.6,0.0,2023
green tea(-),tea / coffee,265,352.13,1.26,369.74,0.0,369.74,0.0,2023
jack daniels(single),spirits,4,13.33,0.0,14.0,0.0,14.0,0.0,2023
mocktail(-),cocktails,1109,4219.56,23.46,4430.54,0.0,4430.54,0.0,2023
gordans pink gin(single),spirits,65,167.14,0.0,175.5,0.0,175.5,0.0,2023
gordans pink gin(double),spirits,36,158.59,2.68,166.52,0.0,166.52,0.0,2023
amaretto(double),spirits,2,9.33,0.0,9.8,0.0,9.8,0.0,2023
navy rum(single),spirits,5,13.33,0.0,14.0,0.0,14.0,0.0,2023
brandy(single),spirits & shots,1,3.62,0.0,3.8,0.0,3.8,0.0,2023
martell(single),spirits,2,8.57,0.0,9.0,0.0,9.0,0.0,2023
baileys(single),spirits,27,66.93,5.32,70.28,0.0,70.28,0.0,2023
baileys(double),spirits,9,40.23,0.96,42.24,0.0,42.24,0.0,2023
sake(white wine),white wine,9,64.29,0.0,67.5,0.0,67.5,0.0,2023
bombay(double),spirits,13,70.57,0.0,74.1,0.0,74.1,0.0,2023
gordans(double),spirits,81,335.19,12.55,351.95,0.0,351.95,0.0,2023
hendricks(double),spirits,2,11.05,0.0,11.6,0.0,11.6,0.0,2023
jack daniels(double),spirits,15,78.57,0.0,82.5,0.0,82.5,0.0,2023
rum(double),spirits,19,81.43,0.0,85.5,0.0,85.5,0.0,2023
